
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,2023-11-06,,Northern Illinois,W,92,70,35,67,.522,9,25,.360,13,21,.619,11,37,20,8,2,8,15,,26,70,.371,7,26,.269,11,16,.688,16,38,10,6,4,14,13
2,2023-11-10,,Rider,W,95,65,34,62,.548,13,30,.433,14,21,.667,6,36,23,11,5,9,16,,26,66,.394,5,19,.263,8,15,.533,13,36,14,6,1,16,17
3,2023-11-14,@,Illinois,W,71,64,27,62,.435,5,17,.294,12,20,.600,9,36,7,9,0,8,14,,21,60,.350,11,33,.333,11,13,.846,11,37,8,6,7,15,15
4,2023-11-20,N,UCLA,W,71,69,25,55,.455,11,34,.324,10,18,.556,3,23,11,6,2,7,18,,23,49,.469,5,13,.385,18,20,.900,4,27,10,5,3,12,19
5,2023-11-21,N,Kansas,W,73,59,29,64,.453,6,25,.240,9,12,.750,10,31,13,11,4,12,14,,22,54,.407,6,17,.353,9,16,.563,7,29,17,7,2,18,12
6,2023-11-22,N,Purdue,L,75,78,30,58,.517,5,17,.294,10,11,.909,5,23,17,11,1,9,18,,30,59,.508,10,21,.476,8,15,.533,10,32,14,3,2,14,11
7,2023-11-28,,Southern,W,93,56,32,65,.492,10,32,.313,19,25,.760,9,36,19,10,3,6,13,,22,54,.407,9,29,.310,3,9,.333,4,29,13,5,5,18,16
8,2023-12-02,@,Wisconsin,L,64,75,23,55,.418,7,29,.241,11,14,.786,6,18,11,5,1,11,21,,23,54,.426,5,20,.250,24,28,.857,12,33,9,6,1,12,13
9,2023-12-06,,Texas,W,86,65,30,59,.508,14,30,.467,12,15,.800,7,35,17,8,2,15,15,,25,60,.417,4,16,.250,11,14,.786,6,27,16,10,5,13,15
10,2023-12-09,,Notre Dame,W,78,59,29,56,.518,8,24,.333,12,13,.923,7,31,20,7,0,14,16,,19,52,.365,9,35,.257,12,15,.800,10,28,10,12,1,14,13
11,2023-12-14,,St. Thomas,W,84,79,27,54,.500,8,21,.381,22,28,.786,5,26,19,9,3,11,13,,29,55,.527,13,34,.382,8,10,.800,5,25,21,4,2,14,21
12,2023-12-19,@,Providence,L,57,72,18,56,.321,4,20,.200,17,21,.810,7,34,7,7,2,14,22,,22,51,.431,11,32,.344,17,28,.607,6,36,17,5,1,13,18
13,2023-12-22,,Georgetown,W,81,51,29,65,.446,10,29,.345,13,19,.684,8,36,22,11,5,10,13,,20,61,.328,5,25,.200,6,11,.545,9,36,8,4,5,17,15
14,2023-12-30,,Creighton,W,72,67,25,68,.368,9,31,.290,13,16,.813,17,40,13,10,2,13,7,,25,55,.455,12,32,.375,5,6,.833,4,31,18,5,1,15,16
15,2024-01-06,@,Seton Hall,L,75,78,28,65,.431,10,28,.357,9,13,.692,11,25,16,14,5,10,15,,29,55,.527,6,15,.400,14,16,.875,13,42,17,6,5,19,14
16,2024-01-10,,Butler,L,62,69,24,73,.329,5,31,.161,9,11,.818,14,39,13,12,3,10,15,,24,54,.444,10,22,.455,11,15,.733,5,38,18,6,2,18,16
17,2024-01-15,,Villanova,W,87,74,37,63,.587,7,23,.304,6,8,.750,4,25,24,9,4,3,13,,25,53,.472,14,33,.424,10,14,.714,5,23,11,2,1,12,11
